exp_time|process|stage|trial|role|step|score_0|score_1|choice_set|choice_bonus|initiation|destination|unit_bonus
52.638|grid_exercise|0|0|0|7|12|13|[(-6, 6), (-5, 5), (0, 0)]|(-6, 6)|(3, 4)|(3, 1)|{(0, 0): (0, 0), (0, 1): (0, 0), (0, 2): (-4, 4), (0, 3): (-7, 7), (0, 4): (0, 0), (0, 5): (-7, 7), (0, 6): (0, 0), (1, 0): (-6, 6), (1, 1): (0, 0), (1, 2): (-6, 6), (1, 3): (0, 0), (1, 4): (0, 0), (1, 5): (-7, 7), (1, 6): (0, 0), (2, 0): (-5, 5), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (0, 0), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-6, 6), (3, 0): (-5, 5), (3, 1): (-6, 6), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-5, 5), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (0, 0), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-4, 4), (4, 6): (0, 0), (5, 0): (-7, 7), (5, 1): (-6, 6), (5, 2): (-5, 5), (5, 3): (0, 0), (5, 4): (0, 0), (5, 5): (-7, 7), (5, 6): (0, 0), (6, 0): (0, 0), (6, 1): (-7, 7), (6, 2): (-5, 5), (6, 3): (-6, 6), (6, 4): (0, 0), (6, 5): (-6, 6), (6, 6): (-6, 6)}
58.058|grid_exercise|0|0|1|-1|17|12|END_OF_TRIAL|END_OF_TRIAL|(3, 1)|(-999, -999)|{(0, 0): (0, 0), (0, 1): (0, 0), (0, 2): (-4, 4), (0, 3): (-7, 7), (0, 4): (0, 0), (0, 5): (-7, 7), (0, 6): (0, 0), (1, 0): (-6, 6), (1, 1): (0, 0), (1, 2): (-6, 6), (1, 3): (0, 0), (1, 4): (0, 0), (1, 5): (-7, 7), (1, 6): (0, 0), (2, 0): (-5, 5), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (0, 0), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-6, 6), (3, 0): (-5, 5), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-5, 5), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (0, 0), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-4, 4), (4, 6): (0, 0), (5, 0): (-7, 7), (5, 1): (-6, 6), (5, 2): (-5, 5), (5, 3): (0, 0), (5, 4): (0, 0), (5, 5): (-7, 7), (5, 6): (0, 0), (6, 0): (0, 0), (6, 1): (-7, 7), (6, 2): (-5, 5), (6, 3): (-6, 6), (6, 4): (0, 0), (6, 5): (-6, 6), (6, 6): (-6, 6)}
66.181|grid_exercise|0|2|0|11|0|0|[(-4, 4), (0, 0), (-7, 7), (-6, 6), (-5, 5)]|(-7, 7)|(3, 3)|(3, 4)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (-7, 7), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
69.735|grid_exercise|0|2|1|4|7|0|[(-4, 4), (0, 0)]|(-4, 4)|(3, 4)|(3, 2)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
75.733|grid_exercise|0|2|0|0|7|4|[(0, 0)]|(0, 0)|(3, 2)|(3, 3)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
79.378|grid_exercise|0|2|1|11|4|4|[(-4, 4), (0, 0), (-7, 7), (-6, 6), (-5, 5)]|(0, 0)|(3, 3)|(4, 3)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
81.308|grid_exercise|0|2|0|11|4|0|[(-4, 4), (-7, 7), (-6, 6), (0, 0)]|(-7, 7)|(4, 3)|(4, 2)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
87.645|grid_exercise|0|2|1|4|11|0|[(0, 0)]|(0, 0)|(4, 2)|(3, 2)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
90.780|grid_exercise|0|2|0|11|11|-5|[(-7, 7), (-6, 6), (-5, 5), (0, 0)]|(-7, 7)|(3, 2)|(3, 0)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
95.094|grid_exercise|0|2|1|4|18|-5|[(0, 0)]|(0, 0)|(3, 0)|(2, 0)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (0, 0), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
